 #,Geo_ID,Geo_Feature,Geography_Name,Geography_Type,LE_birth,LE_birth_LCL,LE_birth_UCL,Overall_MR,Overall_MR_LCL,Overall_MR_UCL,COVID_a,COVID_a_LCL,COVID_a_UCL,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_EST,MHI,MHI_LCL,MHI_UCL,100_FPL_Pop,100_FPL_Pct,200_FPL_Pop,200_FPL_Pct,100_FPL_Child_Pop,100_FPL_Child_Pct,200_FPL_Child_Pop,200_FPL_Child_Pct,Poverty_PST,Edu_LessHS_Pop,Edu_HSGrad_Pop,Edu_College_Pop,Edu_Bach_Pop,Edu_LessHS_Pct,Edu_LessHS_Pct_LCL,Edu_LessHS_Pct_UCL,Edu_HSGrad_Pct,Edu_HSGrad_Pct_LCL,Edu_HSGrad_Pct_UCL,Edu_College_Pct,Edu_College_Pct_LCL,Edu_College_Pct_UCL,Edu_Bach_Pct,Edu_Bach_Pct_LCL,Edu_Bach_Pct_UCL,Preschool,Preschool_LCL,Preschool_UCL,Grade3_Eng,Grade3_Eng_LCL,Grade3_Eng_UCL,Grade3_Math,Grade3_Math_LCL,Grade3_Math_UCL,Diff_Child_C,Diff_Child_C_LCL,Diff_Child_C_UCL,Diff_Child_C_EST,Voting,Voting_LCL,Voting_UCL,SE_Support,SE_Support_LCL,SE_Support_UCL,SE_Support_EST
0,hp_target,Healthy People 2030 Target,Healthy People 2030 Target,Healthy People 2030 Target,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,csa_city_culver_city,Culver City,City of Culver City,Incorporated City,84,82.6,85.4,521.7,463.9,579.5,294.7,250.4,339,6.8,4.8,8.7,small area estimate,114429,103053,125805,2242,5.6,5338,13.4,479,6.5,1159,15.8,0,1974,3110,6395,19344,6.4,4.6,8.2,10.1,8.4,11.8,20.7,17.5,24,62.8,58.2,67.3,82.5,70.3,94.7,65.4,61.2,69.7,69,64.9,73.2,,,,,83.7,83.3,84.1,70.9,67.5,74.2,small area estimate
38,csa_city_diamond_bar,Diamond Bar,City of Diamond Bar,Incorporated City,84.4,83.2,85.6,514.1,460.3,568,175.9,145.8,206,11.6,9.3,13.8,small area estimate,106881,99751,114011,4078,7.6,9433,17.6,717,7.8,1736,18.8,0,3025,5687,10547,20796,7.6,6.2,8.9,14.2,12.8,15.6,26.3,23.8,28.9,51.9,49.1,54.7,47.8,31,64.5,74,70.7,77.3,75.4,72.2,78.5,,,,,79.1,78.7,79.5,63,58.6,67.4,small area estimate
39,csa_city_downey,Downey,City of Downey,Incorporated City,80.1,79.2,81.1,690,641.5,738.4,390.9,354.6,427.1,10.2,8.1,12.2,small area estimate,84236,80312,88160,9409,8.4,24108,21.6,2903,12.2,7457,31.2,0,15183,19473,22729,19359,19.8,18.2,21.4,25.4,23.8,26.9,29.6,27.7,31.5,25.2,23.4,27.1,41.5,30.2,52.9,49.1,46.4,51.7,50.7,48,53.4,,,,,74.1,73.8,74.4,65.5,61.5,69.6,small area estimate
40,csa_city_duarte,Duarte,City of Duarte,Incorporated City,82.1,80.1,84,611.3,527.2,695.4,413.8,343.5,484.2,12.7,10.7,14.6,small area estimate,93908,84082,103734,1871,8.9,4379,20.8,401,11.1,983,27.1,0,2624,3934,4367,5446,16,12.9,19.2,24,19.7,28.4,26.7,23.3,30,33.3,29,37.5,32,15.2,48.7,39.7,32.1,47.4,41.7,33.9,49.4,,,,,79,78.3,79.7,68.1,65,71.3,small area estimate
41,csa_city_el_monte,El Monte,City of El Monte,Incorporated City,79.7,78.8,80.7,698.7,650.7,746.7,529.4,487.4,571.4,19.9,16.9,23,small area estimate,59929,57025,62833,19195,18,46588,43.7,6136,26.1,14361,61.1,37.2,26445,21345,15454,10027,36.1,34,38.1,29.1,27,31.2,21.1,19.6,22.6,13.7,12.5,14.8,41.9,33.5,50.3,34.8,31.8,37.8,37.6,34.6,40.6,,,,,67.3,66.9,67.7,51.6,47.8,55.4,small area estimate
43,csa_city_gardena,Gardena,City of Gardena,Incorporated City,79.9,78.4,81.4,682.4,626.3,738.6,369.4,327.4,411.4,14.4,11.6,17.2,small area estimate,75443,71357,79529,7465,12.5,16697,28,1861,16.7,4251,38.2,0,8578,9908,13232,11669,19.8,17.3,22.2,22.8,20.9,24.8,30.5,28,33,26.9,24.8,29,51.9,34.8,69,46.8,42.1,51.6,52,47.3,56.7,,,,,69.3,68.8,69.8,60.8,56.6,65.1,small area estimate
44,csa_city_glendale,Glendale,City of Glendale,Incorporated City,82.4,81.8,83.1,590,562.1,618,350.9,329.8,372,11.9,9.1,14.7,small area estimate,81219,78707,83731,26545,13.8,57096,29.7,4444,14.1,9795,31.1,4.8,16253,30434,34562,63225,11.2,10.3,12.2,21.1,19.8,22.4,23.9,22.6,25.2,43.8,42.2,45.3,56.4,48.7,64.1,60.6,58.2,63,63.7,61.4,66.1,,,,,72,71.7,72.3,58.3,53.4,63.3,small area estimate
45,csa_city_glendora,Glendora,City of Glendora,Incorporated City,79,77.7,80.3,759.1,692.7,825.5,348.3,304.1,392.4,10.3,8.5,12.1,small area estimate,106718,97358,116078,3778,7.3,8514,16.5,899,9.2,2114,21.6,0,2589,7800,12232,13482,7.2,6,8.3,21.6,19.4,23.8,33.9,31.6,36.1,37.3,34.7,40,61.5,43.8,79.2,59,55,63.1,60.2,56.2,64.3,,,,,81.5,81.1,81.9,72.6,69.5,75.6,small area estimate
47,csa_city_hawthorne,Hawthorne,City of Hawthorne,Incorporated City,81.3,79.8,82.8,624.1,569.6,678.6,383.5,339.9,427.2,14,11.3,16.7,small area estimate,72298,68704,75892,14707,17,33136,38.4,4801,24,10308,51.5,7.8,12221,13869,16941,13868,21.5,19.4,23.5,24.4,22.5,26.3,29.8,27.6,32,24.4,22.1,26.7,35.7,25.6,45.8,42.3,39,45.6,46.4,43.1,49.7,,,,,71.8,71.4,72.2,60,55.6,64.4,small area estimate
50,csa_city_huntington_park,Huntington Park,City of Huntington Park,Incorporated City,79.8,78.2,81.3,708.8,630.7,787,503.4,438.5,568.3,20.1,16.3,24,small area estimate,54073,49756,58390,10488,19.6,26747,50.1,3719,28.9,9334,72.6,32.3,15887,8935,6754,2648,46.4,43.5,49.4,26.1,24,28.2,19.7,17.7,21.8,7.7,6.2,9.2,36.8,26.4,47.3,29.6,26.4,32.8,36.2,32.9,39.5,,,,,64.3,63.7,64.9,55.1,50.6,59.6,small area estimate
